#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
9.08    9.5602    6.9618    2.5984
9.085    9.5086    6.9221    2.5865
9.09    9.4569    6.8824    2.5745
9.095    9.4052    6.8427    2.5625
9.1    9.3536    6.8031    2.5505
9.105    9.3019    6.7635    2.5385
9.11    9.2502    6.7239    2.5264
9.115    9.1986    6.6843    2.5143
9.12    9.1469    6.6447    2.5022
9.125    9.0952    6.6052    2.49
9.13    9.0435    6.5657    2.4778
9.135    8.9918    6.5262    2.4656
9.14    8.9401    6.4867    2.4534
9.145    8.8884    6.4472    2.4412
9.15    8.8367    6.4078    2.4289
9.155    8.785    6.3684    2.4166
9.16    8.7333    6.329    2.4043
9.165    8.6816    6.2897    2.3919
9.17    8.6299    6.2503    2.3796
9.175    8.5782    6.211    2.3672
9.18    8.5264    6.1717    2.3547
9.185    8.4747    6.1324    2.3423
9.19    8.423    6.0932    2.3298
9.195    8.3712    6.0539    2.3173
9.2    8.3195    6.0147    2.3048
9.205    8.2678    5.9755    2.2923
9.21    8.216    5.9363    2.2797
9.215    8.1643    5.8972    2.2671
9.22    8.1125    5.8581    2.2545
9.225    8.0608    5.819    2.2418
9.23    8.009    5.7799    2.2292
9.235    7.9573    5.7408    2.2165
9.24    7.9055    5.7018    2.2037
9.245    7.8537    5.6627    2.191
9.25    7.802    5.6237    2.1782
9.255    7.7502    5.5848    2.1654
9.26    7.6984    5.5458    2.1526
9.265    7.6466    5.5069    2.1398
9.27    7.5949    5.4679    2.1269
9.275    7.5431    5.429    2.114
9.28    7.4913    5.3902    2.1011
9.285    7.4395    5.3513    2.0882
9.29    7.3877    5.3125    2.0752
9.295    7.3359    5.2737    2.0622
9.3    7.2841    5.2349    2.0492
9.305    7.2323    5.1961    2.0362
9.31    7.1805    5.1573    2.0231
9.315    7.1286    5.1186    2.01
9.32    7.0768    5.0799    1.9969
9.325    7.025    5.0412    1.9838
9.33    6.9732    5.0026    1.9706
9.335    6.9214    4.9639    1.9575
9.34    6.8695    4.9253    1.9443
9.345    6.8177    4.8867    1.931
9.35    6.7659    4.8481    1.9178
9.355    6.714    4.8095    1.9045
9.36    6.6622    4.771    1.8912
9.365    6.6103    4.7325    1.8779
9.37    6.5585    4.694    1.8645
9.375    6.5066    4.6555    1.8512
9.38    6.4548    4.617    1.8378
9.385    6.4029    4.5786    1.8243
9.39    6.351    4.5401    1.8109
9.395    6.2992    4.5017    1.7974
9.4    6.2473    4.4634    1.7839
9.405    6.1954    4.425    1.7704
9.41    6.1436    4.3867    1.7569
9.415    6.0917    4.3484    1.7433
9.42    6.0398    4.3101    1.7297
9.425    5.9879    4.2718    1.7161
9.43    5.936    4.2335    1.7025
9.435    5.8841    4.1953    1.6888
9.44    5.8322    4.1571    1.6752
9.445    5.7803    4.1189    1.6615
9.45    5.7284    4.0807    1.6477
9.455    5.6765    4.0425    1.634
9.46    5.6246    4.0044    1.6202
9.465    5.5727    3.9663    1.6064
9.47    5.5208    3.9282    1.5926
9.475    5.4689    3.8901    1.5788
9.48    5.4169    3.8521    1.5649
9.485    5.365    3.814    1.551
9.49    5.3131    3.776    1.5371
9.495    5.2612    3.738    1.5231
9.5    5.2092    3.7    1.5092
9.505    5.1573    3.6621    1.4952
9.51    5.1053    3.6241    1.4812
9.515    5.0534    3.5862    1.4672
9.52    5.0014    3.5483    1.4531
9.525    4.9495    3.5105    1.439
9.53    4.8975    3.4726    1.4249
9.535    4.8456    3.4348    1.4108
9.54    4.7936    3.3969    1.3967
9.545    4.7417    3.3591    1.3825
9.55    4.6897    3.3214    1.3683
9.555    4.6377    3.2836    1.3541
9.56    4.5857    3.2459    1.3399
9.565    4.5338    3.2082    1.3256
9.57    4.4818    3.1705    1.3113
9.575    4.4298    3.1328    1.297
9.58    4.3778    3.0951    1.2827
9.585    4.3258    3.0575    1.2683
9.59    4.2738    3.0199    1.254
9.595    4.2218    2.9823    1.2396
9.6    4.1698    2.9447    1.2252
9.605    4.1178    2.9071    1.2107
9.61    4.0658    2.8696    1.1963
9.615    4.0138    2.8321    1.1818
9.62    3.9618    2.7946    1.1673
9.625    3.9098    2.7571    1.1527
9.63    3.8578    2.7196    1.1382
9.635    3.8058    2.6822    1.1236
9.64    3.7537    2.6447    1.109
9.645    3.7017    2.6073    1.0944
9.65    3.6497    2.57    1.0797
9.655    3.5976    2.5326    1.0651
9.66    3.5456    2.4952    1.0504
9.665    3.4936    2.4579    1.0357
9.67    3.4415    2.4206    1.0209
9.675    3.3895    2.3833    1.0062
9.68    3.3374    2.3461    0.99138
9.685    3.2854    2.3088    0.97658
9.69    3.2333    2.2716    0.96176
9.695    3.1813    2.2344    0.94691
9.7    3.1292    2.1972    0.93204
9.705    3.0771    2.16    0.91715
9.71    3.0251    2.1228    0.90224
9.715    2.973    2.0857    0.8873
9.72    2.9209    2.0486    0.87234
9.725    2.8689    2.0115    0.85736
9.73    2.8168    1.9744    0.84236
9.735    2.7647    1.9374    0.82734
9.74    2.7126    1.9003    0.81229
9.745    2.6605    1.8633    0.79722
9.75    2.6084    1.8263    0.78213
9.755    2.5563    1.7893    0.76702
9.76    2.5042    1.7523    0.75189
9.765    2.4521    1.7154    0.73673
9.77    2.4    1.6785    0.72155
9.775    2.3479    1.6416    0.70635
9.78    2.2958    1.6047    0.69113
9.785    2.2437    1.5678    0.67589
9.79    2.1916    1.531    0.66062
9.795    2.1395    1.4941    0.64533
9.8    2.0873    1.4573    0.63002
9.805    2.0352    1.4205    0.61469
9.81    1.9831    1.3837    0.59934
9.815    1.931    1.347    0.58396
9.82    1.8788    1.3103    0.56857
9.825    1.8267    1.2735    0.55315
9.83    1.7745    1.2368    0.53771
9.835    1.7224    1.2002    0.52225
9.84    1.6703    1.1635    0.50676
9.845    1.6181    1.1268    0.49126
9.85    1.566    1.0902    0.47573
9.855    1.5138    1.0536    0.46018
9.86    1.4616    1.017    0.44461
9.865    1.4095    0.98045    0.42902
9.87    1.3573    0.9439    0.41341
9.875    1.3051    0.90737    0.39778
9.88    1.253    0.87085    0.38212
9.885    1.2008    0.83436    0.36644
9.89    1.1486    0.79788    0.35074
9.895    1.0964    0.76142    0.33502
9.9    1.0443    0.72498    0.31928
9.905    0.99208    0.68856    0.30352
9.91    0.93989    0.65215    0.28774
9.915    0.8877    0.61577    0.27193
9.92    0.8355    0.5794    0.2561
9.925    0.78331    0.54305    0.24026
9.93    0.73111    0.50672    0.22439
9.935    0.6789    0.47041    0.2085
9.94    0.6267    0.43411    0.19259
9.945    0.57449    0.39784    0.17665
9.95    0.52228    0.36158    0.1607
9.955    0.47006    0.32534    0.14472
9.96    0.41785    0.28912    0.12873
9.965    0.36562    0.25291    0.11271
9.97    0.3134    0.21673    0.096672
9.975    0.26118    0.18056    0.080613
9.98    0.20895    0.14441    0.064532
9.985    0.15671    0.10828    0.048431
9.99    0.10448    0.072171    0.032308
9.995    0.052241    0.036076    0.016164
10    -2.5047e-13    -1.7939e-12    1.5434e-12
