#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
5.94    41.087    37.573    3.5139
5.945    41.039    37.513    3.5263
5.95    40.991    37.452    3.5386
5.955    40.942    37.391    3.5509
5.96    40.894    37.331    3.5632
5.965    40.846    37.27    3.5754
5.97    40.797    37.21    3.5875
5.975    40.749    37.149    3.5995
5.98    40.701    37.089    3.6115
5.985    40.652    37.029    3.6235
5.99    40.604    36.969    3.6354
5.995    40.556    36.908    3.6472
6    40.507    36.848    3.659
6.005    40.459    36.788    3.6707
6.01    40.41    36.728    3.6823
6.015    40.362    36.668    3.6939
6.02    40.314    36.608    3.7055
6.025    40.265    36.548    3.7169
6.03    40.217    36.489    3.7284
6.035    40.168    36.429    3.7397
6.04    40.12    36.369    3.751
6.045    40.072    36.309    3.7623
6.05    40.023    36.25    3.7735
6.055    39.975    36.19    3.7846
6.06    39.926    36.131    3.7957
6.065    39.878    36.071    3.8067
6.07    39.829    36.012    3.8177
6.075    39.781    35.952    3.8286
6.08    39.732    35.893    3.8394
6.085    39.684    35.834    3.8502
6.09    39.635    35.774    3.8609
6.095    39.587    35.715    3.8716
6.1    39.538    35.656    3.8823
6.105    39.49    35.597    3.8928
6.11    39.441    35.538    3.9033
6.115    39.393    35.479    3.9138
6.12    39.344    35.42    3.9242
6.125    39.295    35.361    3.9345
6.13    39.247    35.302    3.9448
6.135    39.198    35.243    3.955
6.14    39.15    35.184    3.9652
6.145    39.101    35.126    3.9753
6.15    39.052    35.067    3.9854
6.155    39.004    35.008    3.9954
6.16    38.955    34.95    4.0054
6.165    38.907    34.891    4.0153
6.17    38.858    34.833    4.0251
6.175    38.809    34.774    4.0349
6.18    38.761    34.716    4.0446
6.185    38.712    34.658    4.0543
6.19    38.663    34.599    4.0639
6.195    38.615    34.541    4.0735
6.2    38.566    34.483    4.083
6.205    38.517    34.425    4.0925
6.21    38.469    34.367    4.1019
6.215    38.42    34.309    4.1113
6.22    38.371    34.251    4.1206
6.225    38.323    34.193    4.1298
6.23    38.274    34.135    4.139
6.235    38.225    34.077    4.1481
6.24    38.176    34.019    4.1572
6.245    38.128    33.961    4.1662
6.25    38.079    33.904    4.1752
6.255    38.03    33.846    4.1841
6.26    37.981    33.788    4.193
6.265    37.932    33.731    4.2018
6.27    37.884    33.673    4.2106
6.275    37.835    33.616    4.2193
6.28    37.786    33.558    4.2279
6.285    37.737    33.501    4.2365
6.29    37.688    33.443    4.2451
6.295    37.64    33.386    4.2536
6.3    37.591    33.329    4.262
6.305    37.542    33.272    4.2704
6.31    37.493    33.214    4.2788
6.315    37.444    33.157    4.287
6.32    37.395    33.1    4.2953
6.325    37.347    33.043    4.3035
6.33    37.298    32.986    4.3116
6.335    37.249    32.929    4.3197
6.34    37.2    32.872    4.3277
6.345    37.151    32.815    4.3357
6.35    37.102    32.759    4.3436
6.355    37.053    32.702    4.3514
6.36    37.004    32.645    4.3593
6.365    36.955    32.588    4.367
6.37    36.906    32.532    4.3747
6.375    36.858    32.475    4.3824
6.38    36.809    32.419    4.39
6.385    36.76    32.362    4.3976
6.39    36.711    32.306    4.4051
6.395    36.662    32.249    4.4125
6.4    36.613    32.193    4.4199
6.405    36.564    32.136    4.4273
6.41    36.515    32.08    4.4346
6.415    36.466    32.024    4.4418
6.42    36.417    31.968    4.449
6.425    36.368    31.912    4.4562
6.43    36.319    31.855    4.4633
6.435    36.27    31.799    4.4703
6.44    36.221    31.743    4.4773
6.445    36.172    31.687    4.4843
6.45    36.123    31.631    4.4912
6.455    36.074    31.576    4.498
6.46    36.024    31.52    4.5048
6.465    35.975    31.464    4.5115
6.47    35.926    31.408    4.5182
6.475    35.877    31.352    4.5249
6.48    35.828    31.297    4.5315
6.485    35.779    31.241    4.538
6.49    35.73    31.185    4.5445
6.495    35.681    31.13    4.551
6.5    35.632    31.074    4.5574
6.505    35.583    31.019    4.5637
6.51    35.534    30.964    4.57
6.515    35.484    30.908    4.5763
6.52    35.435    30.853    4.5825
6.525    35.386    30.798    4.5886
6.53    35.337    30.742    4.5947
6.535    35.288    30.687    4.6008
6.54    35.239    30.632    4.6068
6.545    35.189    30.577    4.6127
6.55    35.14    30.522    4.6186
6.555    35.091    30.467    4.6245
6.56    35.042    30.412    4.6303
6.565    34.993    30.357    4.636
6.57    34.943    30.302    4.6417
6.575    34.894    30.247    4.6474
6.58    34.845    30.192    4.653
6.585    34.796    30.137    4.6586
6.59    34.747    30.082    4.6641
6.595    34.697    30.028    4.6696
6.6    34.648    29.973    4.675
6.605    34.599    29.918    4.6804
6.61    34.55    29.864    4.6857
6.615    34.5    29.809    4.691
6.62    34.451    29.755    4.6962
6.625    34.402    29.7    4.7014
6.63    34.352    29.646    4.7065
6.635    34.303    29.592    4.7116
6.64    34.254    29.537    4.7166
6.645    34.205    29.483    4.7216
6.65    34.155    29.429    4.7266
