#DATOS PARA h=0.5
t	v
0	0
0.5 4.9
1 9.76379
1.5 14.52
2 19.102
2.5 23.4517
3 27.5223
3.5 31.2799
4 34.7043
4.5 37.7879
5 40.5343
5.5 42.9564
6 45.0735
6.5 46.9095
7 48.4908
7.5 49.8446
8 50.9976
8.5 51.9752
9 52.8011
9.5 53.4964
10 54.0803
10.5 54.5694
11 54.9784
11.5 55.3198
12 55.6044
12.5 55.8414
13 56.0386
13.5 56.2025
14 56.3386
14.5 56.4517
15 56.5455
15.5 56.6233
16 56.6879
16.5 56.7414
17 56.7858
17.5 56.8225
18 56.853
18.5 56.8782
19 56.8991
19.5 56.9165
20 56.9308
20.5 56.9427
21 56.9526
21.5 56.9607
22 56.9675
22.5 56.9731
23 56.9777
23.5 56.9815
24 56.9847
24.5 56.9873
25 56.9895
25.5 56.9913
26 56.9928
26.5 56.994
27 56.9951
27.5 56.9959
28 56.9966
28.5 56.9972
29 56.9977
29.5 56.9981
30 56.9984
30.5 56.9987
31 56.9989
31.5 56.9991
32 56.9993
32.5 56.9994
33 56.9995
33.5 56.9996
34 56.9996
34.5 56.9997
35 56.9998
35.5 56.9998
36 56.9998
36.5 56.9999
37 56.9999
37.5 56.9999
