Método trapezoidal para 20 intervalos:
Se muestran todas las integrales variando el valor de Theta de 0 a 100º de 5 en 5º:
Theta	T/T'
0	0.95
5	0.950429
10	0.951717
15	0.953872
20	0.956903
25	0.960824
30	0.965656
35	0.971423
40	0.978153
45	0.985882
50	0.994651
55	1.00451
60	1.01551
65	1.02771
70	1.0412
75	1.05605
80	1.07236
85	1.09025
90	1.10985
95	1.1313
100	1.15478
