Método Simpson 1/3 compuesto para 20 intervalos:
Se muestran todas las integrales variando el valor de Theta de 0 a 100º de 5 en 5º:
Theta	T/T'
0	0.966667
5	0.967127
10	0.96851
15	0.970823
20	0.974079
25	0.978293
30	0.983488
35	0.989691
40	0.996938
45	1.00527
50	1.01473
55	1.02537
60	1.03727
65	1.05049
70	1.06513
75	1.08128
80	1.09907
85	1.11862
90	1.1401
95	1.1637
100	1.18963
