Método trapezoidal para 4 intervalos:
Se muestran todas las integrales variando el valor de Theta de 0 a 100º de 5 en 5º:
Theta	T/T'
0	0.75
5	0.750273
10	0.751093
15	0.752463
20	0.754388
25	0.756877
30	0.75994
35	0.763589
40	0.76784
45	0.772712
50	0.778228
55	0.784415
60	0.791305
65	0.798935
70	0.807351
75	0.816607
80	0.826767
85	0.837913
90	0.85014
95	0.863573
100	0.878365
