#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
10.7		3.64299		4.78095		-3.7		1.52032
10.8		3.27299		4.93298		-3.95623		1.40653
10.9		2.87737		5.07363		-4.07486		1.24053
11		2.46988		5.19769		-4.05018		1.0209
11.1		2.06486		5.29978		-3.88155		0.74812
11.2		1.67671		5.37459		-3.57355		0.424629
11.3		1.31935		5.41705		-3.13601		0.054841
11.4		1.00575		5.42253		-2.58383		-0.354929
11.5		0.747369		5.38704		-1.93661		-0.796607
11.6		0.553708		5.30738		-1.21809		-1.26057
11.7		0.431899		5.18132		-0.455411		-1.73594
11.8		0.386358		5.00773		0.321751		-2.21088
11.9		0.418533		4.78664		1.0822		-2.67302
12		0.526752		4.51934		1.7943		-3.10983
12.1		0.706182		4.20836		2.42716		-3.50909
12.2		0.948898		3.85745		2.95176		-3.85931
12.3		1.24407		3.47152		3.34215		-4.15016
12.4		1.57829		3.0565		3.57644		-4.37291
12.5		1.93593		2.61921		3.63784		-4.52073
12.6		2.29972		2.16714		3.51542		-4.58906
12.7		2.65126		1.70823		3.20476		-4.5758
12.8		2.97174		1.25065		2.70832		-4.48149
12.9		3.24257		0.802501		2.03566		-4.30939
13		3.44613		0.371563		1.20333		-4.06538
13.1		3.56647		-0.0349754		0.234513		-3.75792
13.2		3.58992		-0.410768		-0.841547		-3.39778
13.3		3.50576		-0.750546		-1.99041		-2.99771
13.4		3.30672		-1.05032		-3.17348		-2.57208
13.5		2.98937		-1.30752		-4.3493		-2.13637
13.6		2.55444		-1.52116		-5.47493		-1.70669
13.7		2.00695		-1.69183		-6.50747		-1.29912
13.8		1.3562		-1.82174		-7.40563		-0.929246
13.9		0.615641		-1.91467		-8.13129		-0.611452
14		-0.197488		-1.97581		-8.65105		-0.358421
14.1		-1.06259		-2.01165		-8.93757		-0.180588
14.2		-1.95635		-2.02971		-8.97083		-0.085682
14.3		-2.85343		-2.03828		-8.73913		-0.0783456
14.4		-3.72735		-2.04612		-8.2398		-0.159861
14.5		-4.55133		-2.0621		-7.47966		-0.327984
14.6		-5.29929		-2.0949		-6.47513		-0.576906
14.7		-5.94681		-2.15259		-5.25195		-0.897345
14.8		-6.472		-2.24233		-3.84462		-1.27677
14.9		-6.85646		-2.37		-2.29542		-1.69973
15		-7.086		-2.53998		-0.653234		-2.14838
15.1		-7.15133		-2.75481		1.02807		-2.60298
15.2		-7.04852		-3.01511		2.69138		-3.04263
15.3		-6.77938		-3.31938		4.27829		-3.44598
15.4		-6.35155		-3.66397		5.73121		-3.79198
15.5		-5.77843		-4.04317		6.99548		-4.06073
15.6		-5.07888		-4.44924		8.02146		-4.23426
15.7		-4.27674		-4.87267		8.76651		-4.29722
15.8		-3.40009		-5.30239		9.19681		-4.23763
15.9		-2.48041		-5.72616		9.28892		-4.0474
16		-1.55152		-6.1309		9.03096		-3.72283
16.1		-0.648419		-6.50318		8.42351		-3.26489
16.2		0.193933		-6.82967		7.47998		-2.67941
16.3		0.941931		-7.09761		6.22661		-1.97705
16.4		1.56459		-7.29531		4.70195		-1.1731
16.5		2.03479		-7.41262		2.95589		-0.287107
16.6		2.33038		-7.44133		1.04825		0.657634
16.7		2.4352		-7.37557		-0.9531		1.6348
16.8		2.33989		-7.21209		-2.97439		2.61588
16.9		2.04245		-6.9505		-4.93847		3.57108
17		1.5486		-6.59339		-6.76754		4.47038
17.1		0.871851		-6.14636		-8.38597		5.28458
17.2		0.033254		-5.6179		-9.72313		5.9864
17.3		-0.939059		-5.01926		-10.7162		6.55151
17.4		-2.01068		-4.36411		-11.3129		6.95953
17.5		-3.14197		-3.66816		-11.4734		7.19487
17.6		-4.28931		-2.94867		-11.1727		7.24749
17.7		-5.40659		-2.22392		-10.402		7.11343
17.8		-6.44679		-1.51258		-9.16918		6.79516
17.9		-7.3637		-0.83306		-7.49984		6.30174
18		-8.11369		-0.202886		-5.43652		5.64868
18.1		-8.65734		0.361981		-3.03792		4.8576
18.2		-8.96113		0.847741		-0.377367		3.95566
18.3		-8.99887		1.24331		2.45933		2.97478
18.4		-8.75293		1.54078		5.37657		1.95056
18.5		-8.21528		1.73584		8.27208		0.921187
18.6		-7.38807		1.82796		11.0404		-0.0739253
18.7		-6.28403		1.82057		13.5768		-0.995528
18.8		-4.92635		1.72101		15.7806		-1.80599
18.9		-3.34829		1.54042		17.5596		-2.47072
19		-1.59233		1.29334		18.8337		-2.95959
19.1		0.29104		0.997383		19.5377		-3.24816
19.2		2.24481		0.672567		19.625		-3.3188
19.3		4.20731		0.340687		19.0692		-3.16157
19.4		6.11423		0.0245301		17.8666		-2.77491
19.5		7.9009		-0.252961		16.0367		-2.16594
19.6		9.50456		-0.469555		13.6221		-1.35055
19.7		10.8668		-0.60461		10.6886		-0.353141
19.8		11.9356		-0.639924		7.32275		0.793997
19.9		12.6679		-0.560525		3.63008		2.05155
20		13.0309		-0.355369		-0.26839		3.3744
20.1		13.0041		-0.0179294		-4.23986		4.71303
20.2		12.5801		0.453373		-8.14422		6.01523
20.3		11.7657		1.0549		-11.8389		7.2279
20.4		10.5818		1.77769		-15.184		8.29898
20.5		9.06338		2.60758		-18.0474		9.17939
20.6		7.25864		3.52552		-20.3101		9.82497
20.7		5.22763		4.50802		-21.8708		10.1983
20.8		3.04055		5.52785		-22.6501		10.2702
20.9		0.775536		6.55487		-22.5949		10.0215
21		-1.48396		7.55702		-21.6805		9.44358
21.1		-3.65201		8.50138		-19.9128		8.53948
21.2		-5.64329		9.35533		-17.3295		7.32414
21.3		-7.37624		10.0877		-13.9993		5.82428
21.4		-8.77617		10.6702		-10.0211		4.07788
21.5		-9.77828		11.078		-5.52096		2.13325
21.6		-10.3304		11.2913		-0.648832		0.0476237
21.7		-10.3953		11.296		4.42625		-2.11454
21.8		-9.95263		11.0846		9.52164		-4.28367
21.9		-9.00047		10.6562		14.4472		-6.38739
22		-7.55574		10.0175		19.0122		-8.35306
22.1		-5.65452		9.18218		23.032		-10.1104
22.2		-3.35132		8.17114		26.3352		-11.5941
22.3		-0.717799		7.01173		28.7706		-12.7463
22.4		2.15926		5.7371		30.213		-13.5193
22.5		5.18056		4.38518		30.5692		-13.877
22.6		8.23747		2.99747		29.7824		-13.7975
22.7		11.2157		1.61772		27.8357		-13.2735
22.8		13.9993		0.290374		24.7541		-12.3137
22.9		16.4747		-0.940996		20.6052		-10.9428
23		18.5352		-2.03528		15.4981		-9.20124
23.1		20.085		-2.9554		9.58133		-7.14419
23.2		21.0432		-3.66982		3.03863		-4.84015
23.3		21.347		-4.15384		-3.91654		-2.36885
23.4		20.9554		-4.39072		-11.0476		0.181235
23.5		19.8506		-4.3726		-18.1026		2.71584
23.6		18.0404		-4.10101		-24.8229		5.13816
23.7		15.5581		-3.5872		-30.9527		7.3523
23.8		12.4628		-2.85197		-36.2479		9.26683
23.9		8.838		-1.92528		-40.4858		10.7983
24		4.78942		-0.845453		-43.4742		11.8746
24.1		0.442001		0.34201		-45.0589		12.4381
24.2		-4.06389		1.58582		-45.1317		12.4481
24.3		-8.57706		2.83063		-43.635		11.8831
24.4		-12.9406		4.01895		-40.5665		10.7424
24.5		-16.9972		5.09319		-35.981		9.04643
24.6		-20.5953		5.99783		-29.9906		6.83739
24.7		-23.5944		6.68157		-22.7623		4.17807
24.8		-25.8706		7.09937		-14.5148		1.15048
24.9		-27.3221		7.21442		-5.51119		-2.14652
25		-27.8732		6.99977		3.94796		-5.60017
25.1		-27.4784		6.43975		13.5349		-9.08747
25.2		-26.1249		5.53101		22.9054		-12.4793
25.3		-23.8344		4.28308		31.7108		-15.6449
25.4		-20.6633		2.71859		39.6106		-18.4566
25.5		-16.7022		0.872927		46.2854		-20.7948
25.6		-12.0737		-1.20655		51.4488		-22.5523
25.7		-6.92883		-3.46179		54.8598		-23.639
25.8		-1.44285		-5.82569		56.3326		-23.9857
25.9		4.19041		-8.22427		55.746		-23.5475
26		9.765		-10.579		53.0496		-22.306
26.1		15.07		-12.8096		48.2688		-20.2716
26.2		19.8968		-14.8368		41.5061		-17.4836
26.3		24.0474		-16.5851		32.9406		-14.0103
26.4		27.3415		-17.9862		22.824		-9.94702
26.5		29.6239		-18.9809		11.4739		-5.41425
26.6		30.7713		-19.5223		-0.734882		-0.553777
26.7		30.6978		-19.5777		-13.3827		4.47558
26.8		29.3595		-19.1301		-26.0181		9.50313
26.9		26.7577		-18.1798		-38.1737		14.3521
27		22.9404		-16.7446		-49.3825		18.8458
27.1		18.0021		-14.86		-59.1949		22.8143
27.2		12.0826		-12.5786		-67.1961		26.1006
27.3		5.363		-9.96851		-73.0221		28.5667
27.4		-1.93921		-7.11185		-76.3755		30.0998
27.5		-9.57675		-4.10186		-77.0383		30.6171
27.6		-17.2806		-1.04016		-74.8831		30.0696
27.7		-24.7689		1.9668		-69.881		28.4456
27.8		-31.757		4.81136		-62.1061		25.772
27.9		-37.9676		7.38856		-51.737		22.1152
28		-43.1413		9.60007		-39.0537		17.5795
28.1		-47.0467		11.358		-24.4313		12.3054
28.2		-49.4898		12.5886		-8.32967		6.46493
28.3		-50.3228		13.2351		8.72027		0.257091
28.4		-49.4507		13.2608		26.1332		-6.09869
28.5		-46.8374		12.6509		43.2891		-12.3698
28.6		-42.5085		11.4139		59.5542		-18.3187
28.7		-36.5531		9.58205		74.3042		-23.7109
28.8		-29.1227		7.21096		86.947		-28.3244
28.9		-20.428		4.37851		96.9457		-31.9578
29		-10.7334		1.18273		103.84		-34.4384
29.1		-0.349361		-2.26111		107.267		-35.6301
29.2		10.3774		-5.82412		106.976		-35.4389
29.3		21.075		-9.36801		102.844		-33.8187
29.4		31.3594		-12.7499		94.8821		-30.7744
29.5		40.8476		-15.8273		83.2431		-26.3635
29.6		49.1719		-18.4637		68.219		-20.696
29.7		55.9938		-20.5333		50.2363		-13.9324
29.8		61.0175		-21.9265		29.8448		-6.27973
29.9		64.0019		-22.5545		7.70242		2.01467
30		64.7722		-22.353		-15.4452		10.6703
30.1		63.2277		-21.286		-38.7886		19.3828
30.2		59.3488		-19.3477		-61.482		27.8342
30.3		53.2006		-16.5643		-82.6725		35.7039
30.4		44.9334		-12.9939		-101.531		42.6803
30.5		34.7802		-8.72587		-117.285		48.4731
30.6		23.0517		-3.87856		-129.246		52.8237
30.7		10.127		1.4038		-136.841		55.5167
30.8		-3.55703		6.95547		-139.633		56.389
30.9		-17.5203		12.5944		-137.349		55.3378
31		-31.2552		18.1282		-129.889		52.3263
31.1		-44.2441		23.3608		-117.34		47.388
31.2		-55.9781		28.0996		-99.9783		40.6275
31.3		-65.9759		32.1623		-78.2675		32.2197
31.4		-73.8027		35.3843		-52.8463		22.4059
31.5		-79.0873		37.6249		-24.5133		11.4872
