#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
10.7		2.65539		4.12883		-0.524657		0.272445
10.8		2.59922		4.1487		-0.588477		0.121117
10.9		2.53769		4.15307		-0.632334		-0.0373792
11		2.47273		4.14125		-0.657696		-0.201892
11.1		2.40611		4.11272		-0.666697		-0.371023
11.2		2.33933		4.06709		-0.662049		-0.543163
11.3		2.27362		4.00413		-0.64693		-0.716533
11.4		2.20986		3.92382		-0.624859		-0.889236
11.5		2.14856		3.82633		-0.599557		-1.05931
11.6		2.08986		3.71201		-0.574793		-1.22479
11.7		2.03351		3.58142		-0.554243		-1.38375
11.8		1.97892		3.43531		-0.541341		-1.5344
11.9		1.92516		3.27459		-0.539145		-1.67507
12		1.87102		3.10033		-0.550211		-1.80433
12.1		1.81506		2.91375		-0.576494		-1.92099
12.2		1.75568		2.71616		-0.619268		-2.02414
12.3		1.69119		2.50894		-0.679068		-2.11316
12.4		1.61987		2.29354		-0.755664		-2.18777
12.5		1.54007		2.07139		-0.848063		-2.24797
12.6		1.45029		1.84394		-0.95454		-2.29411
12.7		1.34921		1.61256		-1.07269		-2.32677
12.8		1.23582		1.37856		-1.19953		-2.34684
12.9		1.10939		1.14317		-1.33157		-2.35538
13		0.969595		0.907461		-1.46496		-2.35363
13.1		0.816495		0.672408		-1.59566		-2.34298
13.2		0.650565		0.438831		-1.7195		-2.32483
13.3		0.472696		0.207406		-1.83242		-2.30063
13.4		0.284178		-0.0213308		-1.93058		-2.27176
13.5		0.0866708		-0.24698		-2.01049		-2.23951
13.6		-0.117839		-0.469262		-2.06915		-2.205
13.7		-0.327092		-0.688004		-2.10417		-2.16917
13.8		-0.538623		-0.903117		-2.11386		-2.13276
13.9		-0.749833		-1.11457		-2.09728		-2.09621
14		-0.958065		-1.32237		-2.05426		-2.05975
14.1		-1.16069		-1.52652		-1.98546		-2.02329
14.2		-1.35518		-1.72702		-1.89232		-1.98652
14.3		-1.5392		-1.92381		-1.77699		-1.94886
14.4		-1.71064		-2.11678		-1.64229		-1.90954
14.5		-1.86774		-2.3057		-1.49161		-1.86759
14.6		-2.00906		-2.49027		-1.32876		-1.82191
14.7		-2.13358		-2.67005		-1.15785		-1.77133
14.8		-2.24073		-2.8445		-0.983162		-1.71461
14.9		-2.33032		-3.01295		-0.808987		-1.65058
15		-2.40263		-3.17459		-0.639463		-1.57811
15.1		-2.45832		-3.32854		-0.478444		-1.49622
15.2		-2.49841		-3.47381		-0.32936		-1.40411
15.3		-2.52427		-3.60935		-0.1951		-1.30119
15.4		-2.53749		-3.73404		-0.0779152		-1.18715
15.5		-2.5399		-3.84677		0.0206567		-1.06195
15.6		-2.53339		-3.94643		0.0998379		-0.925852
