r	u(DF)	u(exacta)	error
5	110	110	0
5.01	109.561	109.561	0.000438245
5.02	109.124	109.124	0.000874745
5.03	108.689	108.688	0.00130951
5.04	108.256	108.254	0.00174255
5.05	107.824	107.822	0.00217387
5.06	107.394	107.391	0.00260349
5.07	106.966	106.963	0.00303141
5.08	106.539	106.535	0.00345765
5.09	106.114	106.11	0.00388222
5.1	105.691	105.686	0.00430512
5.11	105.269	105.264	0.00472636
5.12	104.849	104.844	0.00514596
5.13	104.431	104.425	0.00556392
5.14	104.014	104.008	0.00598026
5.15	103.599	103.592	0.00639498
5.16	103.185	103.178	0.00680809
5.17	102.773	102.766	0.0072196
5.18	102.363	102.355	0.00762953
5.19	101.954	101.946	0.00803787
5.2	101.547	101.538	0.00844465
5.21	101.141	101.132	0.00884986
5.22	100.737	100.728	0.00925352
5.23	100.335	100.325	0.00965564
5.24	99.9337	99.9237	0.0100562
5.25	99.5343	99.5238	0.0104553
5.26	99.1363	99.1255	0.0108528
5.27	98.7399	98.7287	0.0112488
5.28	98.345	98.3333	0.0116434
5.29	97.9515	97.9395	0.0120364
5.3	97.5596	97.5472	0.012428
5.31	97.1691	97.1563	0.0128181
5.32	96.7801	96.7669	0.0132067
5.33	96.3926	96.379	0.0135938
5.34	96.0065	95.9925	0.0139795
5.35	95.6218	95.6075	0.0143638
5.36	95.2386	95.2239	0.0147466
5.37	94.8568	94.8417	0.015128
5.38	94.4765	94.461	0.015508
5.39	94.0975	94.0816	0.0158866
5.4	93.72	93.7037	0.0162638
5.41	93.3438	93.3272	0.0166395
5.42	92.969	92.952	0.0170139
5.43	92.5957	92.5783	0.017387
5.44	92.2236	92.2059	0.0177586
5.45	91.853	91.8349	0.0181289
5.46	91.4837	91.4652	0.0184978
5.47	91.1158	91.0969	0.0188654
5.48	90.7492	90.7299	0.0192316
5.49	90.3839	90.3643	0.0195965
5.5	90.02	90	0.0199601
5.51	89.6573	89.637	0.0203223
5.52	89.296	89.2754	0.0206833
5.53	88.9361	88.915	0.0210429
5.54	88.5774	88.556	0.0214012
5.55	88.22	88.1982	0.0217583
5.56	87.8638	87.8417	0.022114
5.57	87.509	87.4865	0.0224685
5.58	87.1554	87.1326	0.0228217
5.59	86.8031	86.78	0.0231737
5.6	86.4521	86.4286	0.0235244
5.61	86.1023	86.0784	0.0238738
5.62	85.7538	85.7295	0.024222
5.63	85.4065	85.3819	0.024569
5.64	85.0604	85.0355	0.0249147
5.65	84.7155	84.6903	0.0252592
5.66	84.3719	84.3463	0.0256025
5.67	84.0295	84.0035	0.0259446
5.68	83.6883	83.662	0.0262855
5.69	83.3482	83.3216	0.0266251
5.7	83.0094	82.9825	0.0269636
5.71	82.6718	82.6445	0.0273009
5.72	82.3353	82.3077	0.027637
5.73	82	81.9721	0.027972
5.74	81.6659	81.6376	0.0283058
5.75	81.333	81.3043	0.0286384
5.76	81.0012	80.9722	0.0289698
5.77	80.6705	80.6412	0.0293002
5.78	80.341	80.3114	0.0296293
5.79	80.0127	79.9827	0.0299574
5.8	79.6855	79.6552	0.0302843
5.81	79.3594	79.3287	0.03061
5.82	79.0344	79.0034	0.0309347
5.83	78.7105	78.6792	0.0312582
5.84	78.3877	78.3562	0.0315807
5.85	78.0661	78.0342	0.031902
5.86	77.7455	77.7133	0.0322222
5.87	77.4261	77.3935	0.0325414
5.88	77.1077	77.0748	0.0328595
5.89	76.7904	76.7572	0.0331764
5.9	76.4742	76.4407	0.0334923
5.91	76.159	76.1252	0.0338072
5.92	75.8449	75.8108	0.0341209
5.93	75.5319	75.4975	0.0344337
5.94	75.2199	75.1852	0.0347453
5.95	74.909	74.8739	0.0350559
5.96	74.5991	74.5638	0.0353655
5.97	74.2903	74.2546	0.035674
5.98	73.9825	73.9465	0.0359815
5.99	73.6757	73.6394	0.036288
6	73.3699	73.3333	0.0365935
6.01	73.0652	73.0283	0.0368979
6.02	72.7615	72.7243	0.0372013
6.03	72.4587	72.4212	0.0375038
6.04	72.157	72.1192	0.0378052
6.05	71.8563	71.8182	0.0381056
6.06	71.5566	71.5182	0.038405
6.07	71.2578	71.2191	0.0387035
6.08	70.9601	70.9211	0.0390009
6.09	70.6633	70.624	0.0392974
6.1	70.3675	70.3279	0.0395929
6.11	70.0726	70.0327	0.0398875
6.12	69.7787	69.7386	0.0401811
6.13	69.4858	69.4454	0.0404737
6.14	69.1939	69.1531	0.0407654
6.15	68.9028	68.8618	0.0410561
6.16	68.6128	68.5714	0.0413459
6.17	68.3236	68.282	0.0416347
6.18	68.0355	67.9935	0.0419226
6.19	67.7482	67.706	0.0422096
6.2	67.4619	67.4194	0.0424957
6.21	67.1764	67.1337	0.0427808
6.22	66.8919	66.8489	0.043065
6.23	66.6084	66.565	0.0433483
6.24	66.3257	66.2821	0.0436307
6.25	66.0439	66	0.0439122
6.26	65.763	65.7188	0.0441928
6.27	65.4831	65.4386	0.0444725
6.28	65.204	65.1592	0.0447513
6.29	64.9258	64.8808	0.0450292
6.3	64.6485	64.6032	0.0453062
6.31	64.372	64.3265	0.0455824
6.32	64.0965	64.0506	0.0458577
6.33	63.8218	63.7757	0.0461321
6.34	63.548	63.5016	0.0464056
6.35	63.275	63.2283	0.0466783
6.36	63.0029	62.956	0.0469501
6.37	62.7317	62.6845	0.0472211
6.38	62.4613	62.4138	0.0474912
6.39	62.1917	62.144	0.0477605
6.4	61.923	61.875	0.0480289
6.41	61.6552	61.6069	0.0482965
6.42	61.3881	61.3396	0.0485633
6.43	61.1219	61.0731	0.0488292
6.44	60.8565	60.8075	0.0490944
6.45	60.592	60.5426	0.0493586
6.46	60.3283	60.2786	0.0496221
6.47	60.0653	60.0155	0.0498848
6.48	59.8032	59.7531	0.0501466
6.49	59.5419	59.4915	0.0504077
6.5	59.2814	59.2308	0.0506679
6.51	59.0217	58.9708	0.0509273
6.52	58.7628	58.7117	0.051186
6.53	58.5047	58.4533	0.0514438
6.54	58.2474	58.1957	0.0517009
6.55	57.9909	57.9389	0.0519572
6.56	57.7351	57.6829	0.0522126
6.57	57.4802	57.4277	0.0524674
6.58	57.226	57.1733	0.0527213
6.59	56.9725	56.9196	0.0529745
6.6	56.7199	56.6667	0.0532269
6.61	56.468	56.4145	0.0534785
6.62	56.2169	56.1631	0.0537294
6.63	55.9665	55.9125	0.0539795
6.64	55.7169	55.6627	0.0542289
6.65	55.468	55.4135	0.0544775
6.66	55.2199	55.1652	0.0547254
6.67	54.9725	54.9175	0.0549725
6.68	54.7259	54.6707	0.0552189
6.69	54.48	54.4245	0.0554646
6.7	54.2348	54.1791	0.0557095
6.71	53.9904	53.9344	0.0559537
6.72	53.7467	53.6905	0.0561971
6.73	53.5037	53.4473	0.0564399
6.74	53.2614	53.2047	0.0566819
6.75	53.0199	52.963	0.0569232
6.76	52.7791	52.7219	0.0571638
6.77	52.5389	52.4815	0.0574037
6.78	52.2995	52.2419	0.0576428
6.79	52.0608	52.0029	0.0578813
6.8	51.8228	51.7647	0.0581191
6.81	51.5855	51.5272	0.0583561
6.82	51.3489	51.2903	0.0585925
6.83	51.113	51.0542	0.0588282
6.84	50.8778	50.8187	0.0590632
6.85	50.6432	50.5839	0.0592975
6.86	50.4094	50.3499	0.0595311
6.87	50.1762	50.1164	0.059764
6.88	49.9437	49.8837	0.0599963
6.89	49.7119	49.6517	0.0602279
6.9	49.4807	49.4203	0.0604588
6.91	49.2503	49.1896	0.060689
6.92	49.0205	48.9595	0.0609186
6.93	48.7913	48.7302	0.0611475
6.94	48.5628	48.5014	0.0613758
6.95	48.335	48.2734	0.0616034
6.96	48.1078	48.046	0.0618304
6.97	47.8813	47.8192	0.0620567
6.98	47.6554	47.5931	0.0622823
6.99	47.4302	47.3677	0.0625073
7	47.2056	47.1429	0.0627317
7.01	46.9816	46.9187	0.0629554
7.02	46.7583	46.6952	0.0631785
7.03	46.5357	46.4723	0.0634009
7.04	46.3136	46.25	0.0636228
7.05	46.0922	46.0284	0.0638439
7.06	45.8714	45.8074	0.0640645
7.07	45.6513	45.587	0.0642844
7.08	45.4317	45.3672	0.0645038
7.09	45.2128	45.1481	0.0647225
7.1	44.9945	44.9296	0.0649405
7.11	44.7768	44.7117	0.065158
7.12	44.5598	44.4944	0.0653749
7.13	44.3433	44.2777	0.0655911
7.14	44.1274	44.0616	0.0658068
7.15	43.9122	43.8462	0.0660218
