r	u(DF)	u(exacta)	error
7.16	43.6975	43.6313	0.0662362
7.17	43.4835	43.417	0.0664501
7.18	43.27	43.2033	0.0666633
7.19	43.0571	42.9903	0.066876
7.2	42.8449	42.7778	0.067088
7.21	42.6332	42.5659	0.0672995
7.22	42.4221	42.3546	0.0675104
7.23	42.2116	42.1438	0.0677207
7.24	42.0016	41.9337	0.0679304
7.25	41.7923	41.7241	0.0681396
7.26	41.5835	41.5152	0.0683482
7.27	41.3753	41.3067	0.0685561
7.28	41.1677	41.0989	0.0687636
7.29	40.9606	40.8916	0.0689704
7.3	40.7541	40.6849	0.0691767
7.31	40.5482	40.4788	0.0693824
7.32	40.3428	40.2732	0.0695876
7.33	40.138	40.0682	0.0697922
7.34	39.9338	39.8638	0.0699962
7.35	39.7301	39.6599	0.0701997
7.36	39.5269	39.4565	0.0704027
7.37	39.3243	39.2537	0.0706051
7.38	39.1223	39.0515	0.0708069
7.39	38.9208	38.8498	0.0710082
7.4	38.7199	38.6486	0.0712089
7.41	38.5195	38.448	0.0714091
7.42	38.3196	38.248	0.0716088
7.43	38.1203	38.0485	0.0718079
7.44	37.9215	37.8495	0.0720065
7.45	37.7232	37.651	0.0722046
7.46	37.5255	37.4531	0.0724021
7.47	37.3283	37.2557	0.0725991
7.48	37.1316	37.0588	0.0727956
7.49	36.9355	36.8625	0.0729915
7.5	36.7399	36.6667	0.073187
7.51	36.5448	36.4714	0.0733819
7.52	36.3502	36.2766	0.0735763
7.53	36.1561	36.0823	0.0737701
7.54	35.9626	35.8886	0.0739635
7.55	35.7695	35.6954	0.0741563
7.56	35.577	35.5026	0.0743487
7.57	35.385	35.3104	0.0745405
7.58	35.1935	35.1187	0.0747318
7.59	35.0025	34.9275	0.0749226
7.6	34.812	34.7368	0.0751129
7.61	34.622	34.5466	0.0753027
7.62	34.4324	34.357	0.0754921
7.63	34.2434	34.1678	0.0756809
7.64	34.0549	33.9791	0.0758692
7.65	33.8669	33.7908	0.076057
7.66	33.6794	33.6031	0.0762444
7.67	33.4923	33.4159	0.0764312
7.68	33.3058	33.2292	0.0766176
7.69	33.1197	33.0429	0.0768035
7.7	32.9341	32.8571	0.0769889
7.71	32.749	32.6719	0.0771738
7.72	32.5644	32.487	0.0773582
7.73	32.3803	32.3027	0.0775422
7.74	32.1966	32.1189	0.0777257
7.75	32.0134	31.9355	0.0779087
7.76	31.8307	31.7526	0.0780912
7.77	31.6484	31.5701	0.0782733
7.78	31.4666	31.3882	0.0784549
7.79	31.2853	31.2067	0.0786361
7.8	31.1045	31.0256	0.0788167
7.81	30.9241	30.8451	0.0789969
7.82	30.7441	30.665	0.0791767
7.83	30.5647	30.4853	0.079356
7.84	30.3857	30.3061	0.0795348
7.85	30.2071	30.1274	0.0797132
7.86	30.029	29.9491	0.0798911
7.87	29.8514	29.7713	0.0800686
7.88	29.6742	29.5939	0.0802456
7.89	29.4974	29.417	0.0804222
7.9	29.3211	29.2405	0.0805983
7.91	29.1452	29.0645	0.080774
7.92	28.9698	28.8889	0.0809492
7.93	28.7949	28.7137	0.081124
7.94	28.6203	28.539	0.0812984
7.95	28.4463	28.3648	0.0814723
7.96	28.2726	28.191	0.0816458
7.97	28.0994	28.0176	0.0818188
7.98	27.9266	27.8446	0.0819914
7.99	27.7543	27.6721	0.0821636
8	27.5823	27.5	0.0823353
8.01	27.4108	27.3283	0.0825066
8.02	27.2398	27.1571	0.0826775
8.03	27.0691	26.9863	0.082848
8.04	26.8989	26.8159	0.083018
8.05	26.7292	26.646	0.0831877
8.06	26.5598	26.4764	0.0833569
8.07	26.3908	26.3073	0.0835256
8.08	26.2223	26.1386	0.083694
8.09	26.0542	25.9703	0.0838619
8.1	25.8865	25.8025	0.0840295
8.11	25.7192	25.635	0.0841966
8.12	25.5523	25.468	0.0843633
8.13	25.3859	25.3014	0.0845296
8.14	25.2198	25.1351	0.0846955
8.15	25.0542	24.9693	0.084861
8.16	24.8889	24.8039	0.085026
8.17	24.7241	24.6389	0.0851907
8.18	24.5597	24.4743	0.085355
8.19	24.3957	24.3101	0.0855188
8.2	24.232	24.1463	0.0856823
8.21	24.0688	23.9829	0.0858454
8.22	23.906	23.82	0.086008
8.23	23.7435	23.6574	0.0861703
8.24	23.5815	23.4951	0.0863322
8.25	23.4198	23.3333	0.0864937
8.26	23.2586	23.1719	0.0866548
8.27	23.0977	23.0109	0.0868155
8.28	22.9372	22.8502	0.0869758
8.29	22.7771	22.69	0.0871357
8.3	22.6174	22.5301	0.0872953
8.31	22.4581	22.3706	0.0874545
8.32	22.2992	22.2115	0.0876132
8.33	22.1406	22.0528	0.0877716
8.34	21.9824	21.8945	0.0879297
8.35	21.8246	21.7365	0.0880873
8.36	21.6672	21.5789	0.0882446
8.37	21.5101	21.4217	0.0884015
8.38	21.3535	21.2649	0.088558
8.39	21.1972	21.1085	0.0887141
8.4	21.0413	20.9524	0.0888699
8.41	20.8857	20.7967	0.0890253
8.42	20.7305	20.6413	0.0891803
8.43	20.5757	20.4864	0.089335
8.44	20.4212	20.3318	0.0894893
8.45	20.2672	20.1775	0.0896432
8.46	20.1134	20.0236	0.0897968
8.47	19.9601	19.8701	0.08995
8.48	19.8071	19.717	0.0901028
8.49	19.6544	19.5642	0.0902553
8.5	19.5022	19.4118	0.0904074
8.51	19.3503	19.2597	0.0905592
8.52	19.1987	19.108	0.0907106
8.53	19.0475	18.9566	0.0908617
8.54	18.8966	18.8056	0.0910124
8.55	18.7461	18.655	0.0911627
8.56	18.596	18.5047	0.0913127
8.57	18.4462	18.3547	0.0914623
8.58	18.2967	18.2051	0.0916116
8.59	18.1476	18.0559	0.0917606
8.6	17.9989	17.907	0.0919092
8.61	17.8505	17.7584	0.0920575
8.62	17.7024	17.6102	0.0922054
8.63	17.5547	17.4623	0.092353
8.64	17.4073	17.3148	0.0925002
8.65	17.2603	17.1676	0.0926471
8.66	17.1136	17.0208	0.0927936
8.67	16.9672	16.8743	0.0929398
8.68	16.8212	16.7281	0.0930857
8.69	16.6755	16.5823	0.0932313
8.7	16.5302	16.4368	0.0933765
8.71	16.3851	16.2916	0.0935213
8.72	16.2405	16.1468	0.0936659
8.73	16.0961	16.0023	0.0938101
8.74	15.9521	15.8581	0.093954
8.75	15.8084	15.7143	0.0940975
8.76	15.665	15.5708	0.0942407
8.77	15.522	15.4276	0.0943836
8.78	15.3793	15.2847	0.0945262
8.79	15.2369	15.1422	0.0946685
8.8	15.0948	15	0.0948104
8.81	14.9531	14.8581	0.094952
8.82	14.8116	14.7166	0.0950933
8.83	14.6705	14.5753	0.0952342
8.84	14.5298	14.4344	0.0953749
8.85	14.3893	14.2938	0.0955152
8.86	14.2492	14.1535	0.0956552
8.87	14.1093	14.0135	0.0957949
8.88	13.9698	13.8739	0.0959343
8.89	13.8306	13.7345	0.0960733
8.9	13.6917	13.5955	0.0962121
8.91	13.5531	13.4568	0.0963505
8.92	13.4149	13.3184	0.0964886
8.93	13.2769	13.1803	0.0966265
8.94	13.1393	13.0425	0.096764
8.95	13.0019	12.905	0.0969012
8.96	12.8649	12.7679	0.0970381
8.97	12.7282	12.631	0.0971747
8.98	12.5917	12.4944	0.0973109
8.99	12.4556	12.3582	0.0974469
9	12.3198	12.2222	0.0975826
9.01	12.1843	12.0866	0.097718
9.02	12.0491	11.9512	0.0978531
9.03	11.9142	11.8162	0.0979879
9.04	11.7795	11.6814	0.0981223
9.05	11.6452	11.547	0.0982565
9.06	11.5112	11.4128	0.0983904
9.07	11.3775	11.2789	0.098524
9.08	11.244	11.1454	0.0986573
9.09	11.1109	11.0121	0.0987903
9.1	10.978	10.8791	0.098923
9.11	10.8455	10.7464	0.0990555
9.12	10.7132	10.614	0.0991876
9.13	10.5812	10.4819	0.0993194
9.14	10.4496	10.3501	0.099451
9.15	10.3182	10.2186	0.0995823
9.16	10.187	10.0873	0.0997132
9.17	10.0562	9.95638	0.0998439
9.18	9.92568	9.82571	0.0999743
9.19	9.79543	9.69532	0.100104
9.2	9.66545	9.56522	0.100234
9.21	9.53576	9.4354	0.100364
9.22	9.40635	9.30586	0.100493
9.23	9.27722	9.1766	0.100622
9.24	9.14837	9.04762	0.100751
9.25	9.0198	8.91892	0.100879
9.26	8.8915	8.7905	0.101007
9.27	8.76349	8.66235	0.101135
9.28	8.63575	8.53448	0.101263
9.29	8.50828	8.40689	0.10139
9.3	8.38109	8.27957	0.101517
9.31	8.25417	8.15252	0.101644
9.32	8.12752	8.02575	0.101771
9.33	8.00115	7.89925	0.101897
9.34	7.87504	7.77302	0.102023
9.35	7.74921	7.64706	0.102149
9.36	7.62364	7.52137	0.102274
9.37	7.49834	7.39594	0.102399
9.38	7.37331	7.27079	0.102524
9.39	7.24855	7.1459	0.102649
9.4	7.12405	7.02128	0.102773
9.41	6.99982	6.89692	0.102897
9.42	6.87584	6.77282	0.103021
9.43	6.75214	6.64899	0.103145
9.44	6.62869	6.52542	0.103268
9.45	6.50551	6.40212	0.103391
9.46	6.38258	6.27907	0.103514
9.47	6.25992	6.15628	0.103636
9.48	6.13751	6.03376	0.103759
9.49	6.01537	5.91149	0.103881
9.5	5.89348	5.78947	0.104003
9.51	5.77184	5.66772	0.104124
9.52	5.65046	5.54622	0.104245
9.53	5.52934	5.42497	0.104366
9.54	5.40847	5.30398	0.104487
9.55	5.28785	5.18325	0.104608
9.56	5.16749	5.06276	0.104728
9.57	5.04738	4.94253	0.104848
9.58	4.92751	4.82255	0.104968
9.59	4.8079	4.70282	0.105087
9.6	4.68854	4.58333	0.105206
9.61	4.56943	4.4641	0.105325
9.62	4.45056	4.34511	0.105444
9.63	4.33194	4.22638	0.105562
9.64	4.21356	4.10788	0.105681
9.65	4.09544	3.98964	0.105799
9.66	3.97755	3.87164	0.105917
9.67	3.85991	3.75388	0.106034
9.68	3.74251	3.63636	0.106151
9.69	3.62536	3.51909	0.106268
9.7	3.50845	3.40206	0.106385
9.71	3.39177	3.28527	0.106502
9.72	3.27534	3.16872	0.106618
9.73	3.15915	3.05242	0.106734
9.74	3.04319	2.93634	0.10685
9.75	2.92748	2.82051	0.106966
9.76	2.812	2.70492	0.107081
9.77	2.69676	2.58956	0.107196
9.78	2.58175	2.47444	0.107311
9.79	2.46698	2.35955	0.107426
9.8	2.35244	2.2449	0.10754
9.81	2.23813	2.13048	0.107654
9.82	2.12406	2.01629	0.107768
9.83	2.01022	1.90234	0.107882
9.84	1.89661	1.78862	0.107995
9.85	1.78324	1.67513	0.108109
9.86	1.67009	1.56187	0.108222
9.87	1.55717	1.44883	0.108334
9.88	1.44448	1.33603	0.108447
9.89	1.33202	1.22346	0.108559
9.9	1.21978	1.11111	0.108672
9.91	1.10777	0.998991	0.108783
9.92	0.995992	0.887097	0.108895
9.93	0.884435	0.775428	0.109007
9.94	0.773102	0.663984	0.109118
9.95	0.661993	0.552764	0.109229
9.96	0.551107	0.441767	0.10934
9.97	0.440443	0.330993	0.10945
9.98	0.330001	0.220441	0.10956
9.99	0.219781	0.11011	0.109671
10	0	0	0
