#DATOS PARA h=0.03125
t		x		y		x'		y'
2.9375	0.65522	0.00042225	-2.4289	0.00036779
2.9688	0.57924	0.00043382	-2.4335	0.00037241
3	0.50313	0.00044553	-2.4376	0.00037696
3.0312	0.4269	0.00045738	-2.4411	0.00038143
3.0625	0.35057	0.00046936	-2.444	0.00038582
3.0938	0.27416	0.00048149	-2.4463	0.00039013
3.125	0.19768	0.00049375	-2.4481	0.00039436
3.1562	0.12116	0.00050613	-2.4493	0.00039849
3.1875	0.044606	0.00051865	-2.4499	0.00040254
3.2188	-0.031956	0.00053129	-2.4499	0.0004065
3.25	-0.10851	0.00054406	-2.4494	0.00041035
3.2812	-0.18504	0.00055694	-2.4483	0.00041411
3.3125	-0.26152	0.00056994	-2.4466	0.00041777
3.3438	-0.33795	0.00058305	-2.4444	0.00042133
3.375	-0.41429	0.00059627	-2.4416	0.00042477
3.4062	-0.49054	0.0006096	-2.4382	0.00042811
3.4375	-0.56667	0.00062302	-2.4342	0.00043133
3.4688	-0.64267	0.00063655	-2.4297	0.00043444
3.5	-0.71852	0.00065018	-2.4246	0.00043744
3.5312	-0.7942	0.00066389	-2.4189	0.00044031
3.5625	-0.8697	0.00067769	-2.4127	0.00044306
3.5938	-0.94499	0.00069158	-2.4058	0.00044569
3.625	-1.0201	0.00070555	-2.3985	0.00044818
3.6562	-1.0949	0.00071959	-2.3905	0.00045055
3.6875	-1.1695	0.00073371	-2.382	0.00045279
3.7188	-1.2438	0.00074789	-2.373	0.00045489
3.75	-1.3178	0.00076214	-2.3634	0.00045685
3.7812	-1.3915	0.00077644	-2.3532	0.00045868
3.8125	-1.4648	0.0007908	-2.3425	0.00046036
3.8438	-1.5379	0.00080521	-2.3312	0.00046191
3.875	-1.6105	0.00081967	-2.3194	0.0004633
3.9062	-1.6828	0.00083417	-2.3071	0.00046455
3.9375	-1.7547	0.0008487	-2.2942	0.00046565
3.9688	-1.8262	0.00086327	-2.2807	0.0004666
4	-1.8973	0.00087786	-2.2668	0.00046739
4.0312	-1.9679	0.00089248	-2.2523	0.00046803
4.0625	-2.038	0.00090711	-2.2372	0.00046851
4.0938	-2.1077	0.00092176	-2.2217	0.00046883
4.125	-2.1769	0.00093641	-2.2056	0.00046899
4.1562	-2.2455	0.00095107	-2.189	0.00046899
4.1875	-2.3137	0.00096572	-2.1719	0.00046882
4.2188	-2.3813	0.00098037	-2.1543	0.00046849
4.25	-2.4483	0.000995	-2.1362	0.00046799
4.2812	-2.5148	0.0010096	-2.1176	0.00046733
4.3125	-2.5807	0.0010242	-2.0984	0.00046649
4.3438	-2.6459	0.0010388	-2.0788	0.00046548
4.375	-2.7106	0.0010533	-2.0587	0.00046429
4.4062	-2.7746	0.0010678	-2.0382	0.00046294
4.4375	-2.838	0.0010822	-2.0171	0.0004614
4.4688	-2.9007	0.0010966	-1.9956	0.00045969
4.5	-2.9627	0.001111	-1.9736	0.0004578
4.5312	-3.024	0.0011252	-1.9511	0.00045574
4.5625	-3.0846	0.0011394	-1.9282	0.00045349
4.5938	-3.1445	0.0011536	-1.9048	0.00045106
4.625	-3.2037	0.0011676	-1.881	0.00044845
4.6562	-3.2621	0.0011816	-1.8568	0.00044566
4.6875	-3.3197	0.0011955	-1.8321	0.00044269
4.7188	-3.3766	0.0012093	-1.8069	0.00043953
4.75	-3.4326	0.001223	-1.7814	0.00043618
4.7812	-3.4879	0.0012365	-1.7554	0.00043265
4.8125	-3.5424	0.00125	-1.7291	0.00042894
4.8438	-3.596	0.0012633	-1.7023	0.00042504
4.875	-3.6487	0.0012766	-1.6751	0.00042095
4.9062	-3.7007	0.0012896	-1.6475	0.00041667
4.9375	-3.7517	0.0013026	-1.6196	0.00041221
4.9688	-3.8019	0.0013154	-1.5912	0.00040756
5	-3.8512	0.0013281	-1.5625	0.00040273
5.0312	-3.8995	0.0013406	-1.5334	0.0003977
5.0625	-3.947	0.0013529	-1.504	0.00039249
5.0938	-3.9935	0.0013651	-1.4742	0.00038709
5.125	-4.0391	0.0013771	-1.4441	0.0003815
5.1562	-4.0838	0.0013889	-1.4136	0.00037573
5.1875	-4.1275	0.0014006	-1.3828	0.00036977
5.2188	-4.1702	0.001412	-1.3517	0.00036362
5.25	-4.212	0.0014233	-1.3202	0.00035729
5.2812	-4.2527	0.0014344	-1.2885	0.00035077
5.3125	-4.2925	0.0014452	-1.2564	0.00034407
5.3438	-4.3312	0.0014559	-1.2241	0.00033718
5.375	-4.369	0.0014663	-1.1914	0.00033011
5.4062	-4.4057	0.0014765	-1.1585	0.00032285
5.4375	-4.4414	0.0014865	-1.1253	0.00031542
5.4688	-4.476	0.0014962	-1.0919	0.0003078
5.5	-4.5096	0.0015057	-1.0581	0.0003
5.5312	-4.5422	0.001515	-1.0242	0.00029202
5.5625	-4.5736	0.001524	-0.98998	0.00028386
5.5938	-4.604	0.0015327	-0.95555	0.00027553
5.625	-4.6333	0.0015412	-0.9209	0.00026702
5.6562	-4.6616	0.0015494	-0.88603	0.00025834
5.6875	-4.6887	0.0015573	-0.85095	0.00024948
5.7188	-4.7148	0.001565	-0.81567	0.00024045
5.75	-4.7397	0.0015724	-0.7802	0.00023125
5.7812	-4.7635	0.0015794	-0.74455	0.00022188
5.8125	-4.7862	0.0015862	-0.70872	0.00021235
5.8438	-4.8078	0.0015927	-0.67273	0.00020265
5.875	-4.8283	0.0015989	-0.63658	0.00019278
5.9062	-4.8476	0.0016048	-0.60027	0.00018276
5.9375	-4.8658	0.0016103	-0.56383	0.00017257
5.9688	-4.8828	0.0016155	-0.52726	0.00016223
6	-4.8987	0.0016204	-0.49056	0.00015173
6.0312	-4.9135	0.001625	-0.45375	0.00014107
6.0625	-4.9271	0.0016293	-0.41683	0.00013026
6.0938	-4.9396	0.0016332	-0.37982	0.00011931
6.125	-4.9508	0.0016367	-0.34271	0.00010821
6.1562	-4.961	0.0016399	-0.30553	9.6957e-05
6.1875	-4.9699	0.0016428	-0.26827	8.5565e-05
6.2188	-4.9777	0.0016453	-0.23095	7.4034e-05
6.25	-4.9844	0.0016474	-0.19357	6.2365e-05
6.2812	-4.9898	0.0016492	-0.15616	5.0561e-05
6.3125	-4.9941	0.0016506	-0.1187	3.8624e-05
6.3438	-4.9973	0.0016516	-0.081215	2.6558e-05
6.375	-4.9992	0.0016522	-0.043712	1.4365e-05
6.4062	-5	0.0016525	-0.0061988	2.047e-06
6.4375	-4.9996	0.0016523	0.031316	-1.0392e-05
6.4688	-4.998	0.0016518	0.068823	-2.2949e-05
6.5	-4.9953	0.0016509	0.10631	-3.5622e-05
6.5312	-4.9914	0.0016496	0.14378	-4.8407e-05
6.5625	-4.9863	0.0016479	0.18121	-6.1302e-05
6.5938	-4.9801	0.0016458	0.2186	-7.4302e-05
6.625	-4.9726	0.0016432	0.25594	-8.7406e-05
6.6562	-4.9641	0.0016403	0.29322	-0.00010061
6.6875	-4.9543	0.0016369	0.33043	-0.00011391
6.7188	-4.9434	0.0016332	0.36756	-0.0001273
6.75	-4.9313	0.001629	0.40461	-0.00014078
6.7812	-4.9181	0.0016244	0.44156	-0.00015435
6.8125	-4.9037	0.0016193	0.47841	-0.000168
6.8438	-4.8882	0.0016139	0.51515	-0.00018173
6.875	-4.8716	0.001608	0.55176	-0.00019554
6.9062	-4.8537	0.0016017	0.58825	-0.00020942
6.9375	-4.8348	0.0015949	0.6246	-0.00022336
6.9688	-4.8147	0.0015877	0.6608	-0.00023738
7	-4.7935	0.0015801	0.69684	-0.00025145
7.0312	-4.7712	0.001572	0.73273	-0.00026557
7.0625	-4.7477	0.0015635	0.76844	-0.00027976
7.0938	-4.7231	0.0015545	0.80397	-0.00029399
7.125	-4.6975	0.0015451	0.83931	-0.00030826
7.1562	-4.6707	0.0015352	0.87446	-0.00032258
7.1875	-4.6428	0.0015249	0.9094	-0.00033693
7.2188	-4.6138	0.0015142	0.94413	-0.00035132
7.25	-4.5838	0.001503	0.97863	-0.00036574
7.2812	-4.5527	0.0014913	1.0129	-0.00038018
7.3125	-4.5205	0.0014792	1.0469	-0.00039464
7.3438	-4.4872	0.0014666	1.0807	-0.00040912
7.375	-4.4529	0.0014536	1.1143	-0.00042361
7.4062	-4.4176	0.0014402	1.1476	-0.00043811
7.4375	-4.3812	0.0014263	1.1806	-0.00045262
7.4688	-4.3438	0.0014119	1.2133	-0.00046712
