Datos Ecuación Calor para la Plata: k = 1.71
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.0855
x	u(x,t)
73	7.76047
74	7.86154
75	7.96091
76	8.0586
77	8.15461
78	8.24894
79	8.34162
80	8.43268
81	8.52214
82	8.61005
83	8.69644
84	8.78137
85	8.86489
86	8.94706
87	9.02795
88	9.10762
89	9.18616
90	9.26363
91	9.34014
92	9.41575
93	9.49056
94	9.56467
95	9.63817
96	9.71115
97	9.78373
98	9.85599
99	9.92805
100	10
-------------------------------------------------------------

r = 0.4275
x	u(x,t)
0	0
1	0.075559
2	0.15122
3	0.227084
4	0.303252
5	0.379824
6	0.456896
7	0.534566
8	0.612927
9	0.692068
10	0.772079
11	0.853044
12	0.935042
13	1.01815
14	1.10244
15	1.18798
16	1.27484
17	1.36306
18	1.4527
19	1.54381
20	1.63643
21	1.73059
22	1.82632
23	1.92363
24	2.02256
25	2.1231
26	2.22526
27	2.32902
28	2.4344
29	2.54135
30	2.64987
31	2.75992
32	2.87146
33	2.98446
34	3.09886
35	3.2146
36	3.33164
37	3.4499
38	3.56932
39	3.68982
40	3.81131
41	3.93373
42	4.05697
43	4.18095
44	4.30557
45	4.43075
46	4.55637
47	4.68233
48	4.80854
49	4.93489
50	5.06128
51	5.1876
52	5.31375
53	5.43962
54	5.5651
55	5.69011
56	5.81453
57	5.93828
58	6.06125
59	6.18335
60	6.3045
61	6.4246
62	6.54359
63	6.66138
64	6.77789
65	6.89307
66	7.00686
67	7.11918
68	7.23
69	7.33928
70	7.44696
71	7.55302
72	7.65744
73	7.76018
74	7.86125
75	7.96063
76	8.05832
77	8.15432
78	8.24866
79	8.34135
80	8.43241
81	8.52188
82	8.60979
83	8.69619
84	8.78113
85	8.86466
86	8.94684
87	9.02774
88	9.10743
89	9.18598
90	9.26347
91	9.33999
92	9.41561
93	9.49044
94	9.56457
95	9.63808
96	9.71108
97	9.78367
98	9.85596
99	9.92803
100	10
-------------------------------------------------------------

r = 0.513
x	u(x,t)
0	0
1	-1.91468e+19
2	3.82839e+19
3	-5.74015e+19
4	7.64897e+19
5	-9.55385e+19
6	1.14537e+20
7	-1.33475e+20
8	1.52341e+20
9	-1.71124e+20
10	1.8981e+20
11	-2.08388e+20
12	2.26843e+20
13	-2.45162e+20
14	2.63329e+20
15	-2.8133e+20
16	2.99147e+20
17	-3.16764e+20
18	3.34164e+20
19	-3.51327e+20
20	3.68235e+20
21	-3.84869e+20
22	4.01207e+20
23	-4.17229e+20
24	4.32914e+20
25	-4.48241e+20
26	4.63186e+20
27	-4.77729e+20
28	4.91847e+20
29	-5.05516e+20
30	5.18716e+20
31	-5.31423e+20
32	5.43616e+20
33	-5.55273e+20
34	5.66373e+20
35	-5.76895e+20
36	5.86819e+20
37	-5.96126e+20
38	6.04798e+20
39	-6.12818e+20
40	6.20169e+20
41	-6.26837e+20
42	6.32808e+20
43	-6.38069e+20
44	6.42609e+20
45	-6.4642e+20
46	6.49492e+20
47	-6.51821e+20
48	6.534e+20
49	-6.54228e+20
50	6.54303e+20
51	-6.53625e+20
52	6.52196e+20
53	-6.5002e+20
54	6.47103e+20
55	-6.43452e+20
56	6.39075e+20
57	-6.33982e+20
58	6.28185e+20
59	-6.21698e+20
60	6.14534e+20
61	-6.06709e+20
62	5.98241e+20
63	-5.89147e+20
